vehicle_id,trip_id,state,drive_seconds_lazy,leg_seconds_total,vehicle_id_precise,trip_id_precise,state_precise,drive_seconds_precise,leg_seconds_total_precise,difference_sec,pct_diff
Phoenix,to_Minneapolis,US:Arizona,16047,90847,,,,0,,-16047,
New,York_to_Atlanta,US:Virginia,13541,53432,,,,0,,-13541,
Los,Angeles_to_Washington,US:Ohio,11775,140641,,,,0,,-11775,
Denver,to_Baltimore,US:Ohio,11895,92438,,,,0,,-11895,
Phoenix,to_Baltimore,US:Ohio,11894,123014,,,,0,,-11894,
Detroit,to_Baltimore,US:Ohio,10531,28618,,,,0,,-10531,
Seattle,to_Baltimore,US:Ohio,11196,152696,,,,0,,-11196,
Minneapolis,to_Baltimore,US:Ohio,11302,60746,,,,0,,-11302,
Chicago,to_Baltimore,US:Ohio,12988,39401,,,,0,,-12988,
Miami,to_Detroit,US:West Virginia,12761,75361,,,,0,,-12761,
San,Francisco_to_Orlando,US:New Mexico,15478,154062,,,,0,,-15478,
Orlando,to_Baltimore,US:Florida,8496,49132,,,,0,,-8496,
Miami,to_Baltimore,US:Florida,19284,59855,,,,0,,-19284,
Seattle,to_Baltimore,US:Nebraska,21401,152696,,,,0,,-21401,
Denver,to_Baltimore,US:Nebraska,19185,92438,,,,0,,-19185,
New,York_to_Miami,US:Virginia,10311,75617,,,,0,,-10311,
New,York_to_San_Diego,US:Ohio,14925,154875,,,,0,,-14925,
San,Diego_to_Baltimore,US:West Virginia,2777,144492,,,,0,,-2777,
San,Francisco_to_Seattle,US:Washington,9530,51024,,,,0,,-9530,
Houston,to_Boston,US:Mississippi,9955,102689,,,,0,,-9955,
Miami,to_Detroit,US:North Carolina,5288,75361,,,,0,,-5288,
San,Francisco_to_Austin,US:California,33618,99768,,,,0,,-33618,
San,Francisco_to_Baltimore,US:Pennsylvania,11505,156314,,,,0,,-11505,
San,Francisco_to_San_Antonio,US:California,33618,98020,,,,0,,-33618,
Los,Angeles_to_Miami,US:Arizona,17144,148243,,,,0,,-17144,
New,York_to_Seattle,US:Indiana,9091,160950,,,,0,,-9091,
Washington,to_Atlanta,US:South Carolina,7733,35845,,,,0,,-7733,
Philadelphia,to_Atlanta,US:South Carolina,7733,45202,,,,0,,-7733,
Atlanta,to_Denver,US:Illinois,9591,74779,,,,0,,-9591,
Boston,to_Denver,US:Illinois,9018,107174,,,,0,,-9018,
Detroit,to_Denver,US:Illinois,8993,67864,,,,0,,-8993,
Washington,to_Denver,US:Illinois,9165,92977,,,,0,,-9165,
Miami,to_Denver,US:Illinois,9329,109435,,,,0,,-9329,
Philadelphia,to_Denver,US:Illinois,9505,96418,,,,0,,-9505,
Chicago,to_Denver,US:Illinois,10465,54510,,,,0,,-10465,
Seattle,to_Orlando,US:Nebraska,21649,164664,,,,0,,-21649,
Phoenix,to_San_Antonio,US:Arizona,14985,50650,,,,0,,-14985,
Seattle,to_San_Antonio,US:Arizona,5713,119604,,,,0,,-5713,
San,Francisco_to_Charlotte,US:North Carolina,317,147305,,,,0,,-317,
San,Francisco_to_Baltimore,US:Nevada,24414,156314,,,,0,,-24414,
Los,Angeles_to_Baltimore,US:West Virginia,2777,140506,,,,0,,-2777,
Seattle,to_Minneapolis,US:North Dakota,22682,87458,,,,0,,-22682,
Detroit,to_San_Antonio,US:Michigan,3220,77644,,,,0,,-3220,
Detroit,to_Baltimore,US:Michigan,3202,28618,,,,0,,-3202,
Atlanta,to_San_Francisco,US:Georgia,4026,136515,,,,0,,-4026,
New,York_to_San_Francisco,US:Ohio,12862,164699,,,,0,,-12862,
Miami,to_Denver,US:Tennessee,11520,109435,,,,0,,-11520,
Atlanta,to_Denver,US:Tennessee,11520,74779,,,,0,,-11520,
Minneapolis,to_Baltimore,US:Maryland,5565,60746,,,,0,,-5565,
Seattle,to_Baltimore,US:Maryland,5565,152696,,,,0,,-5565,
Phoenix,to_Baltimore,US:Maryland,8929,123014,,,,0,,-8929,
Miami,to_Baltimore,US:Maryland,2526,59855,,,,0,,-2526,
Charlotte,to_Baltimore,US:Maryland,2526,25323,,,,0,,-2526,
Boston,to_Baltimore,US:Maryland,3647,25436,,,,0,,-3647,
Orlando,to_Baltimore,US:Maryland,2526,49132,,,,0,,-2526,
Detroit,to_Baltimore,US:Maryland,5565,28618,,,,0,,-5565,
Dallas,to_Baltimore,US:Maryland,2526,74016,,,,0,,-2526,
Philadelphia,to_Baltimore,US:Maryland,3502,6453,,,,0,,-3502,
Denver,to_Baltimore,US:Maryland,5565,92438,,,,0,,-5565,
Washington,to_Baltimore,US:Maryland,2218,3051,,,,0,,-2218,
Atlanta,to_Baltimore,US:Maryland,2526,38865,,,,0,,-2526,
Chicago,to_Baltimore,US:Maryland,5575,39401,,,,0,,-5575,
Houston,to_Baltimore,US:Maryland,2526,78533,,,,0,,-2526,
Los,Angeles_to_Washington,US:Texas,11723,140641,,,,0,,-11723,
Los,Angeles_to_San_Antonio,US:Arizona,20779,71424,,,,0,,-20779,
New,York_to_San_Diego,US:Arizona,25908,154875,,,,0,,-25908,
Detroit,to_Austin,US:Ohio,5476,73481,,,,0,,-5476,
Dallas,to_Boston,US:Massachusetts,4113,97906,,,,0,,-4113,
Philadelphia,to_Boston,US:Massachusetts,4237,19871,,,,0,,-4237,
Chicago,to_Boston,US:Massachusetts,3520,55295,,,,0,,-3520,
Atlanta,to_Boston,US:Massachusetts,4039,63022,,,,0,,-4039,
