vehicle_id,trip_id,state,drive_seconds_lazy,leg_seconds_total,vehicle_id_precise,trip_id_precise,state_precise,drive_seconds_precise,leg_seconds_total_precise,difference_sec,pct_diff
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,4,51620.507,4,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,13,51620.507,13,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,28,51620.507,28,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,62,51620.507,62,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,458,51620.507,458,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,8,51620.507,8,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,272,51620.507,272,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,9,51620.507,9,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,277,51620.507,277,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,14,51620.507,14,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,1758,51620.507,1758,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,28,51620.507,28,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,3,51620.507,3,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,715,51620.507,715,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,151,51620.507,151,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,30,51620.507,30,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,20,51620.507,20,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,23,51620.507,23,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,186,51620.507,186,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,629,51620.507,629,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,17,51620.507,17,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Georgia,106,51620.507,106,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,30,51620.507,30,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,17,51620.507,17,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,755,51620.507,755,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,134,51620.507,134,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,11,51620.507,11,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,4,51620.507,4,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,1014,51620.507,1014,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,1040,51620.507,1040,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,808,51620.507,808,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,15,51620.507,15,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,20,51620.507,20,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,2,51620.507,2,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,24,51620.507,24,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,384,51620.507,384,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,13,51620.507,13,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,176,51620.507,176,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,9,51620.507,9,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,5,51620.507,5,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,64,51620.507,64,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,34,51620.507,34,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,13,51620.507,13,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,65,51620.507,65,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,51,51620.507,51,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,11,51620.507,11,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,6,51620.507,6,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,12,51620.507,12,100.0
,,,0,,Atlanta,Atlanta_to_Austin,US:Alabama,45,51620.507,45,100.0
